Score,Hours,Chinese_NY
14.01821184,13.92497276,1
14.27486472,16.33451936,1
12.43908925,13.96817251,1
13.44564122,15.1141107,1
11.80502786,11.90767044,1
11.17552603,12.37565853,1
15.92645829,17.78338874,1
14.49058816,15.52585085,1
15.75878367,13.80274201,0
11.6216479,12.19598896,1
13.46559252,15.50385355,1
16.07376469,20.22034833,1
15.27422789,16.41997393,0
14.2207646,14.52744045,1
17.46248998,17.01233815,0
12.46137157,14.43962219,1
15.02010513,13.70436213,0
12.19708936,11.72805497,1
15.30071491,15.73678614,1
13.8159212,16.00778958,1
12.2210129,12.206194,1
13.4567135,11.01940106,0
16.06947721,15.35334856,0
14.48698893,16.52092537,1
10.85165894,11.11941934,1
16.7278071,15.07506635,0
14.77963914,15.83973398,1
18.72370984,18.52512359,0
14.55809713,16.0702618,1
11.46124195,13.87429969,1
14.03070909,16.07897634,1
13.65862235,16.15051785,1
16.96041647,18.76650972,1
15.51932601,14.49057238,0
13.98827708,15.24807821,1
16.0370029,18.48472764,1
14.34556803,15.25979293,1
11.47561626,11.25932046,1
16.37359897,19.02549974,1
12.06114557,13.54186895,1
16.1730112,18.86575824,1
12.3892052,14.44550686,1
11.94217868,15.20142699,1
17.09902181,17.62334892,0
17.72052794,17.89453734,0
12.22196174,13.50362903,1
10.16489633,10.85010446,1
10.86607088,9.078645158,0
17.59861291,19.95798143,1
12.00649506,12.88895608,1
12.57747127,12.77426366,1
17.191497,17.46762378,0
13.76228774,12.76986119,0
13.54776484,12.97166679,1
13.41820279,14.72892898,1
12.09412185,12.27190933,1
13.0250886,13.50069529,1
13.47556928,15.25585449,1
8.308127746,8.856809561,1
13.2287173,14.30100319,1
13.21294746,14.7153673,1
14.73215501,13.53198286,0
13.55570915,12.06435969,0
17.55468726,20.00023985,1
19.3216474,21.24771918,1
15.41057474,16.46935932,0
9.198811479,9.272095779,1
14.56865308,16.21524617,1
10.88364323,12.15174741,1
14.07301361,17.18745902,1
14.31105823,14.59647155,0
15.43738432,17.72329265,1
14.56503301,16.06812327,1
13.61279896,16.04108738,1
16.66792993,17.17449498,0
6.738651692,5.691549899,1
14.76422583,14.88393104,0
13.5731907,13.35706585,1
17.03690448,19.52304926,1
14.24344269,15.16287298,1
16.65957102,17.72871911,0
15.54440454,14.79079186,0
10.96017302,9.059320722,0
15.39423351,13.78336179,0
14.36990465,14.75007843,0
15.51082411,17.98329733,1
13.4981173,13.20200924,1
13.79661131,15.87815748,1
11.65320531,12.96276996,1
16.9901007,19.48887565,1
13.80409088,15.87677898,1
12.73346899,14.32778816,1
13.15539219,11.88882232,0
14.05402914,15.3768574,1
10.28792585,11.31918101,1
13.67108454,15.27264938,1
13.61335946,14.21461833,1